title,company,empn_rate,posted_time,location,salary,preview,link,job_key,empn_id,job_type
Engineer Intern (Data Engineering team),Virgin Pulse,3.6,9 days ago,"Providence, RI",NA,"Redis, specifically, is used extensively in a distributed locking system, responsible for supporting real-time data processing.In a typical day you may:",http://www.indeed.com/rc/clk?jk=a232faa81b65b68c&fccid=0125a23c2d483263&vjs=3,a232faa81b65b68c,NA,internship
Big Data Engineer,Eateam,NA,9 days ago,"Los Angeles, CA",NA,At least 5 yrs Experience with data processing in spark and python..Excellent communication and interpersonal skills..,http://www.indeed.com/company/Eateam/jobs/Big-Data-Engineer-ab9a366555b74b40?fccid=1cc48fd2328742b1&vjs=3,ab9a366555b74b40,NA,internship
"Data Engineer Intern, Summer 2020",Illumio,4.2,18 days ago,"Sunnyvale, CA 94085",NA,"Data software engineers at Illumio develop innovative solutions and high-quality products, you will work on our core products with a Senior member of the team.",http://www.indeed.com/rc/clk?jk=1e80f8777fe3f3f7&fccid=cfd0e075fb293654&vjs=3,1e80f8777fe3f3f7,NA,internship
Data Engineer and Machine Learning Intern,Hewlett Packard Enterprise,3.7,23 days ago,"San Jose, CA",NA,Data management and hygiene: Large scale data sets need continuous data –hygiene processes for optimal performance.Want to know more about it?,http://www.indeed.com/rc/clk?jk=d7aa6916ac1a97d2&fccid=216eb700022de6f6&vjs=3,d7aa6916ac1a97d2,NA,internship
Data Engineer Intern - Summer 2020,Fanatics Inc.,3.7,30+ days ago,"San Mateo, CA",NA,Designs and develops interfaces to RESTful APIs by setting expectations and features priorities throughout development life cycle.,http://www.indeed.com/rc/clk?jk=0e82ba492c2b9ded&fccid=316c778b7bc10b48&vjs=3,0e82ba492c2b9ded,NA,internship
Data Engineer - 2020 Summer Intern,Cox Automotive,3.4,30+ days ago,"Atlanta, GA 30319",NA,Learn professional data engineering practices.Join a Data Enablement Engineering team.If you picked the latter then:Get an entire team as a mentor.,http://www.indeed.com/rc/clk?jk=e699396259b6bbf6&fccid=7e465a3d521b3ac3&vjs=3,e699396259b6bbf6,NA,internship
Robotics Engineer Intern - Sensor Data - Summer 2020,Magna Corporate,3.7,30+ days ago,"Troy, MI",NA,"Study effects of sensor data fusion on object localization robustness and accuracy.Develop software to implement calibration, data sampling, registration…",http://www.indeed.com/rc/clk?jk=313d528652167f49&fccid=254ad00cf333484f&vjs=3,313d528652167f49,NA,internship
Data Science Engineer - Intern - Spring,Lovingly,3.3,30+ days ago,"Fishkill, NY",$20 an hour,A Lovingly data science engineer is a full stack developer with emphasis on identifying and solving business trends and problems through complex big data…,http://www.indeed.com/rc/clk?jk=f4ac2b301d8922ea&fccid=840c345ea11e9345&vjs=3,f4ac2b301d8922ea,NA,internship
Software Engineer-Data Science PHD (Intern)-United States Du...,Cisco Careers,4.1,30+ days ago,"Austin, TX",NA,Please use the link below for details about the position.,http://www.indeed.com/rc/clk?jk=c301e11b0250a1e7&fccid=dfc44f3b8c44a6db&vjs=3,c301e11b0250a1e7,NA,internship
Intern- RDA Data Systems Engineer 2,Micron,3.8,30+ days ago,"Manassas, VA",NA,"Working closely with internal customers to improve data response.As a Real-time Defect Analysis (RDA) Intern at Micron Technology, Inc. in Manassas, VA, you…",http://www.indeed.com/rc/clk?jk=55b1606f5845c523&fccid=be240c643a8631c5&vjs=3,55b1606f5845c523,NA,internship
Software Engineer in Test Intern - Data Analysis,MathWorks,4.0,30+ days ago,"Natick, MA 01760",NA,As an intern you will work on technical projects with our experienced software engineers.You will have the opportunity to gain practical knowledge of software…,http://www.indeed.com/rc/clk?jk=6faa0d79df92da8b&fccid=20ccf7980496f3a8&vjs=3,6faa0d79df92da8b,NA,internship
"Security Engineer Intern, Data Science (Online Safety)",Facebook,4.2,30+ days ago,"Menlo Park, CA",NA,Our engineers and data scientists collaborate closely with other product engineering teams on safety features across the company.,http://www.indeed.com/rc/clk?jk=0bc29b6d70ee7e60&fccid=1639254ea84748b5&vjs=3,0bc29b6d70ee7e60,NA,internship
Data Engineer Internship,Wellmark,4.0,30+ days ago,"Des Moines, IA",NA,"Currently enrolled as a Junior or Senior undergraduate student or in a graduate-level program in Data Analytics, Management Information Systems, Information…",http://www.indeed.com/rc/clk?jk=babef46def9752ac&fccid=add7a13d6c55ff59&vjs=3,babef46def9752ac,NA,internship
"Data Engineer Intern, Infrastructure Data Centers",Facebook,4.2,30+ days ago,"Fremont, CA",NA,The Data Center Analytics team is seeking a Data Engineer Intern to join the Data Center Data Science Team.Data engineer is responsible to source large amount…,http://www.indeed.com/rc/clk?jk=1eab0452cff5d8ab&fccid=1639254ea84748b5&vjs=3,1eab0452cff5d8ab,NA,internship
"Network Operations Engineer Intern, Infrastructure Data Cent...",Facebook,4.2,30+ days ago,"Fremont, CA",NA,"Being data driven with an ability to use metrics, KPI and SLOs will allow continuous maturity improvements.You must be able to evaluate, deconstruct, document,…",http://www.indeed.com/rc/clk?jk=1847201cd10a4c5b&fccid=1639254ea84748b5&vjs=3,1847201cd10a4c5b,NA,internship
"Robotics Engineer Intern, Infrastructure Data Centers",Facebook,4.2,30+ days ago,"Fremont, CA",NA,Familiar with data analysis tools and/or experience working with data analysts.As we design and build these systems Facebook engineers encounter grand…,http://www.indeed.com/rc/clk?jk=858605b0a1505682&fccid=1639254ea84748b5&vjs=3,858605b0a1505682,NA,internship
"Network Automation Engineer Intern, Infrastructure Data Cent...",Facebook,4.2,30+ days ago,"Fremont, CA",NA,You'll work very closely with our partners in integrating new processes into our production network.Overall you will be providing support across our production…,http://www.indeed.com/rc/clk?jk=643ef5db51d67d52&fccid=1639254ea84748b5&vjs=3,643ef5db51d67d52,NA,internship
"Analytical Solutions Engineer Intern, Infrastructure Data Ce...",Facebook,4.2,30+ days ago,"Fremont, CA",NA,Facebook is seeking Analytics Solutions Software Developer Intern to join the Data Center Data Science Team.Experience with big data and statistics.,http://www.indeed.com/rc/clk?jk=560fed98ab13f097&fccid=1639254ea84748b5&vjs=3,560fed98ab13f097,NA,internship
DATA PLATFORM ENGINEER INTERN,"Foot Locker, Inc.",3.9,30+ days ago,"Camp Hill, PA 17011",NA,"As a Data Platform Engineer intern, you will:Gain insight into the data platform as they continue to expand a new data lake platform.",http://www.indeed.com/rc/clk?jk=de8bfd5e8f5e6c12&fccid=5c616ca9b51e8497&vjs=3,de8bfd5e8f5e6c12,NA,internship
AI Deep learning/Big data Engineer Internship,Gosvea,NA,30+ days ago,"San Jose, CA","$20,000 - $80,000 a year","Intelligent price compare system is an intelligent assistant system for consumer management in the era of big data.职位类型:全职, 兼职, 临时工, 实习生, 志愿者, 应届生, ...",http://www.indeed.com/company/Gosvea/jobs/Ai-Deep-Learning-Big-Data-Engineer-Internship-042ff2578f30d7fa?fccid=37dd93867d8858cd&vjs=3,042ff2578f30d7fa,NA,internship
Data Engineer Intern,KeHE Distributors,3.1,30+ days ago,"Naperville, IL 60563",NA,"Pursuing a Bachelor's degree in Technology, with a focus on Machine Learning and / or Data Science.The Internship Program also provides opportunities for…",http://www.indeed.com/rc/clk?jk=253d0ca8c20f0149&fccid=8e2790db4e6d0e3e&vjs=3,253d0ca8c20f0149,NA,internship
Computer Science Data Engineer Intern,KLA-Tencor,4.0,30+ days ago,"Ann Arbor, MI",NA,"Understand the data currently available in the data system, and what data transformations are needed to enable new data analytics applications.",http://www.indeed.com/rc/clk?jk=c4b45030d4f4d745&fccid=c8fc142c28286059&vjs=3,c4b45030d4f4d745,NA,internship
Software Engineer Internship for Workstations for Data Scien...,HP,4.0,30+ days ago,"Fort Collins, CO 80528",NA,"Work with a team to understand Data Science workflows within an edge compute environment.As a Software Engineer Intern, you will work with a team with Personal…",http://www.indeed.com/rc/clk?jk=793348673dae4fbf&fccid=1b866506aec22461&vjs=3,793348673dae4fbf,NA,internship
AIP Intern-Investment Data Engineer,Ameritas,3.1,30+ days ago,"Cincinnati, OH 45240",NA,Ameritas Investment Partners is seeking a Investments Data Engineer Intern.Understands foundational concepts of data development and operational procedures…,http://www.indeed.com/rc/clk?jk=069bd51252a9a77b&fccid=ecfbf426b0306e13&vjs=3,069bd51252a9a77b,NA,internship
Software Engineer Intern - Data Science & Solutions,Oklahoma City Thunder,4.3,30+ days ago,"Edmond, OK 73013",NA,"As a Software Engineer Intern in Data Science & Solutions, your work is critical to uncovering valuable insights that help shape the organization’s future —…",http://www.indeed.com/rc/clk?jk=39068390c7bb470f&fccid=ae01f05d96d41784&vjs=3,39068390c7bb470f,NA,internship
IT Data Engineer Internship - Summer 2020,RLI Corp,2.6,30+ days ago,"Peoria, IL",NA,"As a Data Engineer, the intern would have a variety of potential jobs available based on a candidate’s background experience and expertise.",http://www.indeed.com/rc/clk?jk=cb969502b4c54e6a&fccid=2c3d145aaed30d09&vjs=3,cb969502b4c54e6a,NA,internship
"Software Engineer Internship, Data (Summer 2020)",Grand Rounds,3.6,30+ days ago,"San Francisco, CA 94107 (South Of Market area)",NA,"Grand Rounds data is healthcare data: big, complex and sensitive.High throughput big data delivery pipelines.Privacy protection in cloud-based data stores.",http://www.indeed.com/rc/clk?jk=86fde281f19aa793&fccid=674737b89dda47a6&vjs=3,86fde281f19aa793,NA,internship
Data Engineer Intern - Summer 2020,"InterWorks, Inc.",NA,30+ days ago,"Stillwater, OK 74074",NA,"While some companies may hide their data engineers away in some dungeon, data engineer interns at InterWorks are social, friendly creatures.",http://www.indeed.com/rc/clk?jk=3aaeb4c6295e140a&fccid=72155cc2752706a1&vjs=3,3aaeb4c6295e140a,NA,internship
Data Engineer Intern,ViaSat,3.8,30+ days ago,"Carlsbad, CA 92009",NA,"Work alongside business leaders, analysts, and data scientists to deliver data that drives decisions.Architect real-time data processing pipelines.",http://www.indeed.com/rc/clk?jk=8d9d9fe032eb4fcd&fccid=8b219f1987ef65ea&vjs=3,8d9d9fe032eb4fcd,NA,internship
Data Engineer Intern,Ameritas,3.1,30+ days ago,"Cincinnati, OH 45240",NA,"Ameritas Life Insurance Corp is seeking a Data Engineer Intern In this role, you will be responsible for contributing to data development and operational…",http://www.indeed.com/rc/clk?jk=606de308eec26d3d&fccid=ecfbf426b0306e13&vjs=3,606de308eec26d3d,NA,internship
"Software Engineer, Data Platform Services (New College Grad)",Grand Rounds,3.6,30+ days ago,"San Francisco, CA 94107 (South Of Market area)",NA,"Experience in data modeling a plus.Grand Rounds is building its next-generation data platform, and Data Platform Services is building the distributed system to…",http://www.indeed.com/rc/clk?jk=56fb92a7d63060f4&fccid=674737b89dda47a6&vjs=3,56fb92a7d63060f4,NA,internship
"Software Engineer Internship, Data Platform Services (Summer...",Grand Rounds,3.6,30+ days ago,"San Francisco, CA 94107 (South Of Market area)",NA,"Experience in data modeling a plus.Grand Rounds is building its next-generation data platform, and Data Platform Services is building the distributed system to…",http://www.indeed.com/rc/clk?jk=50e84b98637f44d9&fccid=674737b89dda47a6&vjs=3,50e84b98637f44d9,NA,internship
College Intern - Big Data Engineer,LOCKHEED MARTIN CORPORATION,4.1,30+ days ago,"Fort Worth, TX 76137 (Far North area)",NA,"Coursework in software tools for storing, extracting, transforming, loading, and visualizing big data.This individual will perform as an integral team member…",http://www.indeed.com/rc/clk?jk=511bcdeb7736c4e9&fccid=aeb15e43a6800b9d&vjs=3,511bcdeb7736c4e9,NA,internship
Corporate Intern: Data Analytics Software Engineer - Summer...,Caterpillar,3.9,30+ days ago,"Chicago, IL 60661 (Near West Side area)",NA,Good understanding of cloud-based and Big Data technologies.Demonstrate solid knowledge of computer science fundamentals like data structures and algorithms.,http://www.indeed.com/rc/clk?jk=a54ba694902d322b&fccid=d723225da214c842&vjs=3,a54ba694902d322b,NA,internship
ENG-CE-Customer Technical Service/Maintenance Data Engineer...,Pratt & Whitney,4.0,30+ days ago,"East Hartford, CT",NA,Customer Technical Services (CTS) and Maintenance Data Engineering (MDE) group at Pratt & Whitney is currently looking for a motivated and talented Intern to…,http://www.indeed.com/rc/clk?jk=06fd517975268c6f&fccid=54fab6b8f8edafb5&vjs=3,06fd517975268c6f,NA,internship
Intern- Technology Development Procurement Data Engineer,Micron,3.8,30+ days ago,"Boise, ID",NA,"Follow best practices to ensure data quality and data integrity.As a Procurement Data Engineer at Micron Technology Inc., you will be a key member of a cross…",http://www.indeed.com/rc/clk?jk=cef33356dd1518ab&fccid=be240c643a8631c5&vjs=3,cef33356dd1518ab,NA,internship
Data Engineer Intern (Summer 2020),Wolverine Trading,4.2,30+ days ago,"Chicago, IL 60604 (Loop area)",NA,"Data Engineer Intern (Summer 2020).Data Engineer Intern (Summer 2020) at Wolverine Trading.As a Wolverine Data Engineer Intern, you will have the opportunity…",http://www.indeed.com/rc/clk?jk=96bc8cafcd89c1b2&fccid=1ec8c83c883d1273&vjs=3,96bc8cafcd89c1b2,NA,internship
Data Engineer Intern - Spring 2020,PACCAR,3.6,30+ days ago,"Denton, TX",NA,Familiarity with in large-scale software development with emphasis on data analytics and high-volume data processing.Proficiency with ETL tools and techniques.,http://www.indeed.com/rc/clk?jk=bc5d47c9063e2062&fccid=c2c6a7536e4d9df3&vjs=3,bc5d47c9063e2062,NA,internship
Software Engineer Intern - Data Analytics,ViaSat,3.8,30+ days ago,"Carlsbad, CA 92009",NA,"Data analytics & cloud application engineering.Pursuing Bachelor's degree or higher in Data Science, Applied Math, Computer Science, Computer Engineering,…",http://www.indeed.com/rc/clk?jk=5bbaf7b89b5bdd9b&fccid=8b219f1987ef65ea&vjs=3,5bbaf7b89b5bdd9b,NA,internship
"Data Engineer, Analytics, Intern",Facebook,4.2,30+ days ago,"New York, NY 10017 (Midtown area)",NA,"Build data expertise and own data quality for allocated areas of ownership.Interface with Engineers, Product Managers and Product Analysts to understand…",http://www.indeed.com/rc/clk?jk=d8ad6b947af501a7&fccid=1639254ea84748b5&vjs=3,d8ad6b947af501a7,NA,internship
AIP Intern-Investment Data Engineer,Ameritas,3.1,30+ days ago,"Cincinnati, OH 45240",NA,Ameritas Investment Partners is seeking a Investments Data Engineer Intern.Understands foundational concepts of data development and operational procedures…,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKAn8Ne3arQi1Mh5qwjYsG5lwTL_pp_IkpGjXO6EXKyNV7dxSyrbOxmxdsrSnP5hYxIr9OtuXln4HoGrGyWNNSSVDBbxHElrGOa3_SHH-COB9-JA6XhCeZGvtGv_49n4TaJIECaJHoLFQ2f3aqe-FG2tKvvnRlrejhhbjQnG3s_U7cbGA_uZqBP5_LIfiRiHY5Z_vTReBKccDWIk0RlPv1N_fnYaAY2aPcI4ZHcSp4LnXNErFRhCoFLp0Qza-aAEUELe90NOa3ytAecaopHFtnZTXXerBiJ4oG4CVS0fNQFk40Bm7jEJJFcjrrBT2Jjpd1sr7ER1KOtaM6pyVTYSDaFg8koYbbogCzhKdBdgAbpM_V5dabpoANJO1aJy-tx0etL7EeEt3NtxDuBBrXKm0cNISrpNv_O0vsT0bZJP8kLYAj3TyCcJcxlUviD1aYjOE=&p=40&fvj=0&vjs=3,66d0d8993909f52e,6253565994227662,internship
Software Engineer-Data Science PHD (Intern)-United States Du...,Cisco Systems,4.1,30+ days ago,"Austin, TX 78716",NA,Please use the link below for details about the position.,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2LP6KtwgLMWcIJbzQK4y118hUYa2NHT0ELzb4aR6nDrO9_32R0LtaJkfuj-WiSeaGTFRxKsVdQDqx6K0TD3Vqcpv-7HyyKjBhLI32Vx7LI3jRqGcplkBadX8OU1FBXMlLiOGHkFuDj_m46muO3asUk-lngQv2LRtaqGmh2SEOvt63y6fvVHSGxVlpCTcv67p13NNHCyGNHv70IayBRPJm5VE9B7NsQmh_eo5LhcEIerqjDcZib45XQcMwScSvATCRwqHf51WhHS-wmUhHnFnKc5lFTv3p5d-CO9uTlX1Vhk50s2vBLXFrLPzUmGQeUujmvvaurdLiW59-1ld-mOWhebTjF5IK7qUbMvEOS7lRaZCtcK3uXszKX1UZl-zvGgN1BGu9DCFOCXw4F5M0EqZHPXJtA6N28tdh50iKjIIE6w==&p=41&fvj=0&vjs=3,33dc6dcffdd60c04,3565145538192372,internship
Data Engineer Intern,Ameritas,3.1,30+ days ago,"Cincinnati, OH 45240",NA,"Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using Python and big data…",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKAn8Ne3arQi1Mh5qwjYsG5lwTL_pp_IkpGjXO6EXKyNV7dxSyrbOxmxdsrSnP5hYG8rT88qH7NnvJbPhs-tIw1OoVRTTL2pZm9EKoQyZl1LNZXlQJhlL-A6ObGvVvOS2zf8gjfo3TkARZiWFSfhhUeuMh1r1rz8WG5PxE67Ke8A3Fib-JZxS-aZqzpmti6VWXUMODkXv1NxEbu5vRUyxPyZvATGx-hk3mTfyKUcaloaV5HbytutWDbaQ4CTvqwHZoDo0sEuXt3y-qbDzVVBavpo-A0owIan7VfotdVhgEQiYcgClQHPU3k8noBApDRTzvvvupajGKpsG7MUtHfU60-Lvh6bJeemb6ghC4kmLp-LUGYIYWg7QKije4QTnUtRAANPLfU3hXhibX-CZd13n7Z60KyGnp4GO5tJxTK56YVTbgdwllxvYTCz8rmyMKGtY=&p=42&fvj=0&vjs=3,f36c988774d1d821,6253565994227662,internship
Big Data Engineer,Eateam,NA,9 days ago,"Los Angeles, CA",NA,At least 5 yrs Experience with data processing in spark and python..Excellent communication and interpersonal skills..,http://www.indeed.com/company/Eateam/jobs/Big-Data-Engineer-ab9a366555b74b40?fccid=1cc48fd2328742b1&vjs=3,ab9a366555b74b40,NA,internship
Engineer Intern (Data Engineering team),Virgin Pulse,3.6,9 days ago,"Providence, RI",NA,"Redis, specifically, is used extensively in a distributed locking system, responsible for supporting real-time data processing.In a typical day you may:",http://www.indeed.com/rc/clk?jk=a232faa81b65b68c&fccid=0125a23c2d483263&vjs=3,a232faa81b65b68c,NA,internship
"Data Engineer Intern, Summer 2020",Illumio,4.2,18 days ago,"Sunnyvale, CA 94085",NA,"Data software engineers at Illumio develop innovative solutions and high-quality products, you will work on our core products with a Senior member of the team.",http://www.indeed.com/rc/clk?jk=1e80f8777fe3f3f7&fccid=cfd0e075fb293654&vjs=3,1e80f8777fe3f3f7,NA,internship
Data Engineer and Machine Learning Intern,Hewlett Packard Enterprise,3.7,23 days ago,"San Jose, CA",NA,Data management and hygiene: Large scale data sets need continuous data –hygiene processes for optimal performance.Want to know more about it?,http://www.indeed.com/rc/clk?jk=d7aa6916ac1a97d2&fccid=216eb700022de6f6&vjs=3,d7aa6916ac1a97d2,NA,internship
Data Engineer Intern - Summer 2020,Fanatics Inc.,3.7,30+ days ago,"San Mateo, CA",NA,Designs and develops interfaces to RESTful APIs by setting expectations and features priorities throughout development life cycle.Tryouts are open at Fanatics!,http://www.indeed.com/rc/clk?jk=0e82ba492c2b9ded&fccid=316c778b7bc10b48&vjs=3,0e82ba492c2b9ded,NA,internship
Data Engineer - 2020 Summer Intern,Cox Automotive,3.4,30+ days ago,"Atlanta, GA 30319",NA,Learn professional data engineering practices.Join a Data Enablement Engineering team.Devlop enterprise data assets in AWS.If you picked the latter then:,http://www.indeed.com/rc/clk?jk=e699396259b6bbf6&fccid=7e465a3d521b3ac3&vjs=3,e699396259b6bbf6,NA,internship
Robotics Engineer Intern - Sensor Data - Summer 2020,Magna Corporate,3.7,30+ days ago,"Troy, MI",NA,"Study effects of sensor data fusion on object localization robustness and accuracy.Develop software to implement calibration, data sampling, registration…",http://www.indeed.com/rc/clk?jk=313d528652167f49&fccid=254ad00cf333484f&vjs=3,313d528652167f49,NA,internship
Data Science Engineer - Intern - Spring,Lovingly,3.3,30+ days ago,"Fishkill, NY",$20 an hour,A Lovingly data science engineer is a full stack developer with emphasis on identifying and solving business trends and problems through complex big data…,http://www.indeed.com/rc/clk?jk=f4ac2b301d8922ea&fccid=840c345ea11e9345&vjs=3,f4ac2b301d8922ea,NA,internship
